"temp","canopy_cov","veg_cov","dwd_cov","fwd_cov","soil_moist","dwd_count","size_cl","decay_cl","char_cl","aspect","avg_volume"
56.9,0,3.1,1.7,2.9,13.83,64,1.4,2,2.2,135,2.5846086
53.8,0,3.1,1.6,2.4,28.21,33,1.2,2,2.5,14.58892,1.5154854
37.4,0,3.4,1,1,30.13,60,1.4,2,2.9,155.55605,1.4427484
43.4,0,3.4,1.4,1.1,26.06,48,1.5,1.4,2.8,154.79887,0.9697213
45.8,0,2.4,1.4,1.7,25.71,45,1.4,2.3,3,185.01312,1.7770861
46.8,0,3.7,2.3,3.3,25.68,64,1.4,1.5,2.2,194.03625,1.3124214
45.3,0,2.7,1.4,2,33.26,47,1.5,2.1,2.9,278.1301,1.1876167
56.9,0,3.4,2.3,2,10.97,49,1.4,1.7,2.5,14.98164,1.2523069
44,0,1.6,1.3,2.6,19.27,41,1.4,1.9,2.1,132.70938,1.2799185
42.7,3.9,1.3,1.3,2.9,15.99,29,1.4,2.9,1.1,268.1524,1.9971904
51.2,3.9,1,2.3,3.6,13.81,42,1.4,2.6,1,315,2.3247435
50.7,0,3.4,1.7,3.4,24.68,52,1.4,1.9,1,303.69006,2.3870669
40.7,0.1,2.1,2.1,2.4,36.73,56,1.6,1.9,1,0.7639,2.3151189
58.9,0,1.7,1,1.4,20.44,32,1.3,2.8,2.9,189.46231,0.726581
64.5,0,2.1,1.6,2.1,11.7,48,1.4,1.4,2.3,218.15723,0.7396768
48,0,1.1,1.6,3.4,26.3,62,1.2,1.9,2.2,337.61987,2.1742205
62.1,0,3,2.3,3,28.63,49,1.2,1.6,2.3,329.93143,0.8013691
70.4,0,3.4,2.1,3,23.03,43,1.4,1.6,2.1,14.26451,0.8023158
45,3.6,1.6,2,2.7,25.32,36,1.6,2.8,1,306.25385,2.4738464
43,3.6,1.9,1.9,2.6,14.05,47,1.4,2.5,1,268.91907,1.643919
50.5,0,1,1,4,19.63,34,1.4,1.7,1.4,225,0.7623972
70.8,0,3.6,2,2.9,7.99,63,1.4,1.8,1,187.65065,1.3354574
55.2,0,3.6,2,3.1,31.06,37,1.4,1.6,2,309.47247,1.0079043
33.1,0,2.9,1,1,28.96,25,1.4,2.1,3,328.09189,0.8625881
53.5,0,3.7,1.1,1,23.94,43,1.4,1.9,2.7,303.69006,1.173732
55.6,0,3.4,2.1,1.3,26.38,61,1.3,2.1,2.5,334.65381,1.5281078
65.5,0,3.4,2.3,3.4,19.21,52,1.5,1.3,1.9,13.57043,1.2059193
47.9,0,1,1,0.9,18.65,30,1.5,2.1,3,176.98721,0.4449421
52,0,2.9,1.3,1,23.21,52,1.4,2.2,3,267.27368,1.1281333
39.4,0,1,1,1.4,36.7,60,1.4,1.9,2.2,336.03751,2.1055859
56.4,0,3.3,1.4,2.6,29.98,51,1.5,1.7,2.5,9.46232,1.3584934
41.9,0,1.1,1.4,2.6,24.8,47,1.3,2,2.5,37.40536,1.4771446
62.5,0,1.9,1.3,1.4,16.43,72,1.3,2.3,3,78.69006,1.8785392
38.2,0,1.7,1.3,1,24.38,60,1.3,2.2,3,5.82634,1.4713067
50.7,0,3.1,2,1.4,16.7,55,1.4,2.1,2.7,41.87787,1.0822191
44.1,0,1.1,1.9,2.3,25.61,53,1.4,1.9,2.9,186.70984,1.8294693
50.5,0,2.6,1.7,3.3,20.36,36,1.5,1.2,2.1,190.17551,1.0520829
49.1,3.7,2.4,1.1,3.9,22.82,35,1.2,2.8,1,332.74469,0.7488281
52.9,0,2.1,1.3,1.3,29.85,60,1.4,2.3,3,358.95837,2.3514085
59.1,0,1.3,1.1,3,15.61,30,1.3,1.8,1,47.38594,0.5486041
43.8,0,2.7,1.4,3.4,29.6,42,1.3,1.7,1,37.87498,0.4992187
39.8,0,3.1,1,1.4,28.1,33,1.2,2.2,3,75.96376,0.7821461
69.5,0,3.7,1.1,1.6,16.64,28,1.1,2,2.8,132.61406,0.1912304
59.9,0,4,1.3,1.1,23.52,45,1.3,1.7,2.5,148.3925,0.602723
66.2,1.9,3.9,1.6,1.4,23.2,55,1.4,2.7,2.7,4.76364,2.3187478
61.8,1.6,3.9,1.9,1.9,21.78,42,1.3,1.7,2.3,10.17551,1.3619646
53.1,2,3.7,1.4,1.4,23.8,40,1.3,2.6,3,131.63354,1.6333477
49.6,1.9,4,1.3,1.9,29.93,26,1.6,2.2,2.2,217.87498,1.4864537
55.4,2.4,3.7,1.4,3.1,33.4,39,1.2,2.7,1,38.36749,1.6694795
60.1,2.1,3.9,1.1,1.6,32.8,15,1.3,2.1,1,299.1676,0.6284412
49.6,3,3.4,1.4,2.6,25.91,26,1.4,2.8,1,195.39554,1.8932391
51.2,3.3,3.7,1.7,2.3,32.55,24,1.6,2.7,1,190.88553,1.7348008
55.4,1.1,3.6,1.1,1.4,17.05,34,1.1,2.6,2.7,0,1.6735818
52.5,1.7,3.7,2.1,1.7,26.55,40,1.5,2.3,2.2,197.24146,1.8551876
66.1,1.3,4,1.3,1,9.98,27,1.2,2.5,2.6,139.53778,1.2988522
63.5,0,3.9,1.1,1.1,28.67,51,1.5,2,2.9,180,0.9883394
43.4,0,3.6,1,0.9,19.45,33,1.5,1.9,2.5,221.98721,1.6218297
58.7,0,3.7,1.1,1.1,31.16,25,1.3,2.4,3,170.75389,0.4326352
49,0,4,1.3,1,24.12,45,1.5,1.8,2.6,156.16125,1.1754676
56,1.3,3.1,1,1.1,16.04,18,1.4,2.8,3,194.80838,0.6219722
61.1,0.9,2.3,1.1,1.9,15.48,25,1.6,2.6,2.8,201.80141,1.6140984
57.5,1,4,1.7,1.3,12.18,31,1.5,2,2.2,168.69006,1.3190482
75.1,1,3.6,1.7,1.4,24.84,34,1.6,2.5,3,239.03624,3.6511811
65.8,1.6,4,1.6,1.7,27.51,25,1.4,2.1,2.4,180,1.1948746
57.8,2,3.6,1.3,1.7,14.97,17,1.5,2.2,2.5,194.74356,0.4960894
57.1,2.6,3.6,1.3,3,15.39,23,1.4,2,2.3,298.61047,0.774073
69.4,1.7,3.9,1.4,3.1,25.37,18,1.3,1.9,2.6,203.7495,0.7151418
46.8,2.3,3.1,1,1.7,29.05,26,1.1,2.4,2.7,181.68469,0.9660923
44.2,2.1,3.7,2.3,2.1,28.38,34,1.3,2.1,2.2,227.86241,1.967212
46.3,1.6,3.4,1.4,2.4,23.48,42,1.6,2.7,3,188.84181,2.3555108
40.2,1.7,4,1.6,1.7,31.82,47,1.3,1.9,2.6,199.05771,1.1543249
49.6,2.3,3.9,1.3,1.9,30.26,28,1.3,2,2.3,106.38954,1.1936124
37.4,1.9,3,1.6,3.4,24.99,39,1.2,2.5,1,302.31961,2.6370971
61.2,3.6,3.7,1.7,2.7,21.49,21,1.4,2.4,1,280.49146,1.3958612
51,1.4,3.4,1.3,2.6,35.85,17,1.3,2.6,2.6,219.28941,0.7866955
54.4,1.1,4,1.4,1.4,38.6,22,1.5,1.8,2,225,1.4126122
49.5,1.3,3.6,0.7,2.4,29.57,13,1.3,2.5,2.6,261.02737,1.0641532
59.7,0,1,1.4,2.7,10.88,53,1.3,2,1,307.875,1.5839623
48.2,0,2.4,2.6,3.3,26.41,80,1.3,1.7,1,255.46555,1.1896678
57.6,0,2.1,1.1,2.9,6.2,35,1.6,2.1,1,320.90613,0.8780506
40.9,0,3,2,3.1,31.26,51,1.3,1.7,1,348.3407,0.9998574
56.8,0,1,1.1,3.1,24.83,45,1.4,1.8,1,353.65979,0.9056623
64.7,0,0.9,2,3.4,26.23,25,1.6,1.2,1,335.55603,0.491803
65.7,3.6,3.7,1.6,1.7,27.63,41,1.3,2.5,1,247.61986,2.2972896
53.5,3.6,4,0.9,1.7,33.21,16,1.1,2.1,1,321.009,1.1433066
64.5,0,3.9,2,2.3,28.73,36,1.4,1.5,1.3,51.34019,0.9952818
71.7,0,1,1.4,3.4,16.22,46,1.3,1.4,1,14.03625,2.1210484
81.4,0,1.7,1.6,2,18.9,62,1.5,1.5,1,195.42216,2.2717291
54.5,1.1,4,0.9,1,17.37,10,1.3,2.4,2.8,55.49148,0.6085609
75.4,3.3,3,1.6,2.1,23.3,41,1.3,2.7,1,74.74488,2.6156914
44.4,2.9,4,1.3,2.3,30.48,22,1.5,2.1,1,225,2.0384764
67.5,3.7,2.4,1.4,2.1,22.94,28,1.3,2.5,1,351.02737,1.5440437
43.1,3.7,3.1,1.7,2.3,33.5,26,1.5,2.2,1,210.96375,1.6469431
59.2,2.9,4,1,1.3,25.74,21,1.2,2.4,1,271.6366,0.6388548
46.3,2.4,3.7,1.6,1.6,41.4,24,1.2,2.1,1,355.60129,1.698669
67.8,1.7,3.7,1.1,1.6,19.52,32,1.3,2.1,1,232.59465,1.0962616
46.7,3,3.9,2.6,2.4,32.79,38,1.6,2.5,1,2.29061,2.3460439
66.9,1.7,3.6,1.4,1.9,20.44,38,1.6,2.2,1,214.04593,1.7761394
67.9,3,3.7,2.1,2.7,30.85,34,1.6,2,1,353.88449,1.7239139
59.4,1.7,3,1.7,2.3,22.99,47,1.6,2.3,1.1,290.22485,2.2382796
48.6,2.3,3.7,2.1,2.4,24.8,37,1.4,2,1,304.992,2.0016083
46.2,0,1.1,1,1,29.42,31,1.4,2.2,3,247.16635,0.4785494
73.9,0,3,1.4,1.1,6.4,31,1.3,1.6,2.5,3.57633,0.4425754
42.2,0,1.7,1,1,26.12,33,1.4,2.9,3,48.81408,1.1402824
69.9,0,2.3,1.1,1.3,12.93,39,1.2,1.5,2.6,150.52411,0.3543759
53.6,0,3.9,1.3,2,29.96,37,1.5,2.2,1.2,36.02737,0.8515434
67.8,0,3.9,1.6,2,21.58,55,1.3,1.1,1,10.00798,0.7623972
45.2,0,3.9,1.1,1.9,31.71,33,1.3,2.4,1.2,292.61987,0.9009288
45.2,0,2.7,1.4,2.3,32.49,67,1.2,2.1,1.4,16.26021,1.6792619
47.3,0,3.9,1.9,2,26.02,47,1.3,1.5,1,334.65381,0.8046825
46.9,0,2.3,1.4,2.1,23.11,52,1.4,2.6,3,60.9454,0.9378496
56.4,0,2,1.7,1,12.58,50,1.2,2,2.5,200.22485,1.0610764
47.9,0,3.9,1,2.1,31.19,36,1.2,1.9,1,191.853,1.0604453
49.7,0,4,1.1,1,35.17,22,1.5,1.5,1,156.37062,0.3527981
43.5,0,4,1.1,2,32.42,46,1.3,2.7,1.3,5.04245,1.4607354
58.4,0,4,1.6,1,23.93,40,1.3,1.5,1.2,300.0686,1.0598142
46.4,0,1.1,1.3,3.6,28.22,38,1.3,1.9,1.1,144.86581,1.1898256
40.8,0,3.9,1.1,2,27.12,43,1.2,2,1,291.80139,0.6778267
46,0,2.4,2.6,3.4,19.23,61,1.4,1.6,1,255.34325,2.0391601
49.1,0,1.3,1.1,2.1,27.97,44,1.3,2.6,2.6,18.43495,1.8650752
50.3,0,1.3,1.6,1.7,16.97,37,1.5,1.9,2.4,144.46233,1.2764473
42.4,0,1.4,1.1,1,22.45,35,1.4,2.6,3,175.60129,1.1409136
59.1,0,3.4,1.6,1.3,29.22,46,1.4,2,2.5,34.04594,1.0423005
37.9,0,2.1,1.3,1.4,31.64,47,1.4,2.4,3,24.44395,1.7213894
56.9,0,2.7,1.4,1.4,15.29,49,1.4,2,2.7,272.72632,0.7218475
40.8,2,3.7,1.6,2.6,22.75,35,1.3,2.3,2.6,135,1.4940272
63.6,2.3,3.1,1.9,3,23.85,30,1.4,2.1,2.2,156.80141,1.7404809
