"site_id","X1","X2","X3","X4","X5","X6","X7","veg_cov","canopy_cov","soil_moist","fwd_cov","dwd_count","avg_volume","trt","soilmoist-1","soilmoist-2","soilmoist-3","soilmoist-4","soilmoist-5","soilmoist-6","soilmoist-7","temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","rain-1","rain-2","rain-3","rain-4","rain-5","rain-6","rain-7","dwdcov-1","dwdcov-2","dwdcov-3","dwdcov-4","dwdcov-5","dwdcov-6","dwdcov-7","trt-1","trt-2","trt-3","trt-4","trt-5","trt-6","trt-7"
63,0,0,0,0,0,0,0,3.6,1,24.84,1.4,34,3.6511811,"HU",34.87,30.7,28.17,29.33,22.03,22.27,30.17,75.1,75.1,75.1,75.1,75.1,75.1,75.1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,"HU","HU","HU","HU","HU","HU","HU"
64,0,0,1,1,1,0,0,4,1.6,27.51,1.7,25,1.1948746,"HU",29.67,31.13,36.27,28.43,26.53,12.72,25.07,65.8,65.8,65.8,65.8,65.8,65.8,65.8,6,6,6,6,6,6,6,1,1,1,1,2,1,1,"HU","HU","HU","HU","HU","HU","HU"
65,1,0,0,0,0,0,1,3.6,2,14.97,1.7,17,0.4960894,"BS",28.13,28.9,31.53,37.4,32.3,31.13,32.07,57.8,57.8,57.8,57.8,57.8,57.8,57.8,1,1,1,1,1,1,1,2,1,1,2,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
66,0,0,0,0,1,0,0,3.6,2.6,15.39,3,23,0.774073,"HB",27.57,28.67,24.13,27.5,23.03,31.5,33.37,57.1,57.1,57.1,57.1,57.1,57.1,57.1,4,4,4,4,4,4,4,0,2,1,1,1,2,1,"HB","HB","HB","HB","HB","HB","HB"
67,0,0,0,0,1,1,0,3.9,1.7,25.37,3.1,18,0.7151418,"HB",21.7,22.4,26.03,27.53,23.13,17.63,18.73,69.4,69.4,69.4,69.4,69.4,69.4,69.4,4,4,4,4,4,4,4,1,1,2,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
68,0,0,0,1,0,0,0,3.1,2.3,29.05,1.7,26,0.9660923,"BU",24.27,22,24.8,22.33,25.07,25.47,23,46.8,46.8,46.8,46.8,46.8,46.8,46.8,1,1,1,1,1,1,1,1,3,1,2,2,2,2,"BU","BU","BU","BU","BU","BU","BU"
69,0,0,0,0,0,0,0,3.7,2.1,28.38,2.1,34,1.967212,"BS",25.37,23.23,34.5,20.8,35.6,38.07,19.9,44.2,44.2,44.2,44.2,44.2,44.2,44.2,0,0,0,0,0,0,0,1,1,2,3,1,2,1,"BS","BS","BS","BS","BS","BS","BS"
70,0,0,0,0,0,0,0,3.4,1.6,23.48,2.4,42,2.3555108,"HB",28.63,24.23,28.23,27.2,23,25.23,25.87,46.3,46.3,46.3,46.3,46.3,46.3,46.3,1,1,1,1,1,1,1,2,2,1,1,1,2,1,"HB","HB","HB","HB","HB","HB","HB"
71,1,0,0,1,1,1,1,4,1.7,31.82,1.7,47,1.1543249,"BS",25.9,24.4,24.13,27.1,27.83,25.73,24.67,40.2,40.2,40.2,40.2,40.2,40.2,40.2,0,0,0,0,0,0,0,2,2,2,3,3,2,2,"BS","BS","BS","BS","BS","BS","BS"
72,0,1,0,1,0,1,1,3.9,2.3,30.26,1.9,28,1.1936124,"UU",14.53,14.33,13.53,13.9,16.63,12.87,10.87,49.6,49.6,49.6,49.6,49.6,49.6,49.6,0,0,0,0,0,0,0,2,1,2,3,3,3,2,"UU","UU","UU","UU","UU","UU","UU"
73,0,0,0,0,0,1,1,3,1.9,24.99,3.4,39,2.6370971,"HU",40.87,43.3,35.43,32.37,34.23,34.47,36.47,37.4,37.4,37.4,37.4,37.4,37.4,37.4,2,2,2,2,2,2,2,2,2,3,3,3,1,1,"HU","HU","HU","HU","HU","HU","HU"
74,0,0,0,0,0,0,0,3.7,3.6,21.49,2.7,21,1.3958612,"BS",7.8,10.2,10,11.17,10.73,23.7,8.27,61.2,61.2,61.2,61.2,61.2,61.2,61.2,3,3,3,3,3,3,3,1,1,2,2,1,1,3,"BS","BS","BS","BS","BS","BS","BS"
75,0,0,0,1,1,0,0,3.4,1.4,35.85,2.6,17,0.7866955,"BS",27,28.57,34.43,25.33,28.1,29.33,27.63,51,51,51,51,51,51,51,0,0,0,0,0,0,0,3,3,2,2,3,1,2,"BS","BS","BS","BS","BS","BS","BS"
76,0,0,1,1,0,1,1,4,1.1,38.6,1.4,22,1.4126122,"UU",12.93,13.47,14.57,12.37,10.8,15.57,18.67,54.4,54.4,54.4,54.4,54.4,54.4,54.4,3,3,3,3,3,3,3,2,2,1,1,2,3,2,"UU","UU","UU","UU","UU","UU","UU"
77,1,0,0,0,0,0,1,3.6,1.3,29.57,2.4,13,1.0641532,"HU",10.63,6.4,5.57,10.13,7.87,7.63,7.73,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0,0,0,0,0,0,0,2,1,2,2,2,2,3,"HU","HU","HU","HU","HU","HU","HU"
78,0,0,1,0,0,0,0,1,0,10.88,2.7,53,1.5839623,"BS",28.7,22.43,41.77,36.93,31.13,26.53,29.9,59.7,59.7,59.7,59.7,59.7,59.7,59.7,23,23,23,23,23,23,23,3,3,1,1,2,2,2,"BS","BS","BS","BS","BS","BS","BS"
79,1,0,0,0,0,0,0,2.4,0,26.41,3.3,80,1.1896678,"HB",19.57,22.63,23.13,24.8,25.77,26.23,25.47,48.2,48.2,48.2,48.2,48.2,48.2,48.2,0,0,0,0,0,0,0,1,1,1,1,1,2,1,"HB","HB","HB","HB","HB","HB","HB"
80,0,1,1,0,0,0,0,2.1,0,6.2,2.9,35,0.8780506,"BS",29.83,31.4,24.6,29.4,29.73,30.1,34.77,57.6,57.6,57.6,57.6,57.6,57.6,57.6,23,23,23,23,23,23,23,2,2,2,1,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
81,0,0,0,0,0,0,0,3,0,31.26,3.1,51,0.9998574,"BS",20.9,14.9,15.4,14,24,32.8,20.5,40.9,40.9,40.9,40.9,40.9,40.9,40.9,0,0,0,0,0,0,0,1,2,2,3,1,2,1,"BS","BS","BS","BS","BS","BS","BS"
82,1,0,0,1,1,0,1,1,0,24.83,3.1,45,0.9056623,"HU",29.67,36.27,27.6,24.37,30.77,26.37,32.13,56.8,56.8,56.8,56.8,56.8,56.8,56.8,24,24,24,24,24,24,24,1,2,2,2,1,1,1,"HU","HU","HU","HU","HU","HU","HU"
83,0,0,0,0,1,0,0,0.9,0,26.23,3.4,25,0.491803,"BS",21.37,21.23,16.3,17.23,18.03,13.33,9,64.7,64.7,64.7,64.7,64.7,64.7,64.7,4,4,4,4,4,4,4,1,1,1,2,1,1,1,"BS","BS","BS","BS","BS","BS","BS"
84,1,0,0,0,0,1,0,3.7,3.6,27.63,1.7,41,2.2972896,"BS",16.43,28.93,22.83,20.03,24.87,21.1,30.43,65.7,65.7,65.7,65.7,65.7,65.7,65.7,6,6,6,6,6,6,6,1,1,2,1,2,1,1,"BS","BS","BS","BS","BS","BS","BS"
85,0,0,1,1,1,0,0,4,3.6,33.21,1.7,16,1.1433066,"BU",18.97,29.63,29.37,15.93,12.03,18.07,28.43,53.5,53.5,53.5,53.5,53.5,53.5,53.5,8,8,8,8,8,8,8,2,3,1,2,1,2,2,"BU","BU","BU","BU","BU","BU","BU"
86,0,0,0,0,0,1,0,3.9,0,28.73,2.3,36,0.9952818,"UU",31.43,41.47,28.9,39.8,42.83,16.23,28.93,64.5,64.5,64.5,64.5,64.5,64.5,64.5,0,0,0,0,0,0,0,1,1,1,1,2,1,1,"UU","UU","UU","UU","UU","UU","UU"
87,0,0,0,0,0,1,0,1,0,16.22,3.4,46,2.1210484,"UU",29.8,26.1,34.3,39.4,33.63,30.63,34,71.7,71.7,71.7,71.7,71.7,71.7,71.7,8,8,8,8,8,8,8,2,2,2,1,1,2,2,"UU","UU","UU","UU","UU","UU","UU"
88,1,0,0,0,1,1,0,1.7,0,18.9,2,62,2.2717291,"BU",29.33,32.4,32.83,0,34.3,30.37,26.6,81.4,81.4,81.4,81.4,81.4,81.4,81.4,8,8,8,8,8,8,8,2,1,2,3,2,3,2,"BU","BU","BU","BU","BU","BU","BU"
89,0,0,0,1,0,1,0,4,1.1,17.37,1,10,0.6085609,"HB",9.6,2.17,26.6,24.2,55.87,14.67,3.07,54.5,54.5,54.5,54.5,54.5,54.5,54.5,14,14,14,14,14,14,14,1,1,1,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
90,1,0,0,0,0,0,0,3,3.3,23.3,2.1,41,2.6156914,"HB",21.23,22.57,26.2,30.1,23.67,21.63,23.43,75.4,75.4,75.4,75.4,75.4,75.4,75.4,6,6,6,6,6,6,6,2,1,2,1,1,1,1,"HB","HB","HB","HB","HB","HB","HB"
91,0,0,0,1,1,0,0,4,2.9,30.48,2.3,22,2.0384764,"BU",8.8,9.63,12.17,8.2,21.37,10.43,14.67,44.4,44.4,44.4,44.4,44.4,44.4,44.4,0,0,0,0,0,0,0,1,1,2,2,2,2,2,"BU","BU","BU","BU","BU","BU","BU"
92,0,1,0,1,0,0,1,2.4,3.7,22.94,2.1,28,1.5440437,"BU",43.63,24.6,31.27,26.9,20.1,26.07,19.97,67.5,67.5,67.5,67.5,67.5,67.5,67.5,7,7,7,7,7,7,7,1,3,2,1,1,1,2,"BU","BU","BU","BU","BU","BU","BU"
93,0,0,0,0,1,0,0,3.1,3.7,33.5,2.3,26,1.6469431,"BU",17.5,18.97,17.8,13.67,4.03,16.07,19.67,43.1,43.1,43.1,43.1,43.1,43.1,43.1,0,0,0,0,0,0,0,1,1,2,1,1,2,1,"BU","BU","BU","BU","BU","BU","BU"
94,0,0,0,0,0,0,0,4,2.9,25.74,1.3,21,0.6388548,"BU",31.4,27.8,23.73,24.53,26.83,17.37,25.9,59.2,59.2,59.2,59.2,59.2,59.2,59.2,7,7,7,7,7,7,7,1,1,1,3,2,1,1,"BU","BU","BU","BU","BU","BU","BU"
95,1,1,0,0,0,1,0,3.7,2.4,41.4,1.6,24,1.698669,"BU",28.5,30.03,27.6,26.7,28.2,28.23,29.4,46.3,46.3,46.3,46.3,46.3,46.3,46.3,0,0,0,0,0,0,0,1,1,3,3,2,3,3,"BU","BU","BU","BU","BU","BU","BU"
96,0,1,0,0,0,1,0,3.7,1.7,19.52,1.6,32,1.0962616,"BU",34.97,33.3,29.67,26.83,35.7,33.63,28.63,67.8,67.8,67.8,67.8,67.8,67.8,67.8,9,9,9,9,9,9,9,1,1,2,2,2,1,2,"BU","BU","BU","BU","BU","BU","BU"
97,0,0,1,1,0,1,1,3.9,3,32.79,2.4,38,2.3460439,"BU",28.6,33.03,31.53,29.4,32.3,33.03,23.9,46.7,46.7,46.7,46.7,46.7,46.7,46.7,0,0,0,0,0,0,0,1,1,1,2,1,1,2,"BU","BU","BU","BU","BU","BU","BU"
98,0,0,1,0,0,0,0,3.6,1.7,20.44,1.9,38,1.7761394,"UU",20.7,12.03,26.23,23.93,28.37,26.63,12.57,66.9,66.9,66.9,66.9,66.9,66.9,66.9,24,24,24,24,24,24,24,1,1,2,2,1,3,2,"UU","UU","UU","UU","UU","UU","UU"
99,0,0,0,0,0,0,1,3.7,3,30.85,2.7,34,1.7239139,"BU",38.63,34.97,37.1,46.13,38.5,36.57,38.33,67.9,67.9,67.9,67.9,67.9,67.9,67.9,4,4,4,4,4,4,4,1,1,2,2,2,1,1,"BU","BU","BU","BU","BU","BU","BU"
100,0,0,0,0,0,0,0,3,1.7,22.99,2.3,47,2.2382796,"HU",25.53,28.3,30,26.23,24.53,26,24.3,59.4,59.4,59.4,59.4,59.4,59.4,59.4,9,9,9,9,9,9,9,3,2,2,2,3,3,3,"HU","HU","HU","HU","HU","HU","HU"
101,1,0,0,0,1,1,0,3.7,2.3,24.8,2.4,37,2.0016083,"HU",37.33,36.87,21.6,35.8,36.77,26.67,23.77,48.6,48.6,48.6,48.6,48.6,48.6,48.6,0,0,0,0,0,0,0,2,3,1,2,2,2,2,"HU","HU","HU","HU","HU","HU","HU"
102,0,0,0,0,0,0,0,1.1,0,29.42,1,31,0.4785494,"HU",35.5,12.03,26.37,26.53,26.97,22.17,34.03,46.2,46.2,46.2,46.2,46.2,46.2,46.2,0,0,0,0,0,0,0,2,2,3,3,1,2,1,"HU","HU","HU","HU","HU","HU","HU"
103,0,0,0,0,0,0,0,3,0,6.4,1.1,31,0.4425754,"UU",37.7,33.2,29.93,32.53,31.93,32.17,35.03,73.9,73.9,73.9,73.9,73.9,73.9,73.9,7,7,7,7,7,7,7,1,1,1,0,1,1,1,"UU","UU","UU","UU","UU","UU","UU"
104,0,0,0,1,0,0,0,1.7,0,26.12,1,33,1.1402824,"UU",26.5,33.17,38.97,20.23,34.83,32.83,26.8,42.2,42.2,42.2,42.2,42.2,42.2,42.2,0,0,0,0,0,0,0,1,1,1,2,1,2,1,"UU","UU","UU","UU","UU","UU","UU"
105,0,0,0,1,1,1,0,2.3,0,12.93,1.3,39,0.3543759,"UU",34.37,31.03,32.1,33.3,33.83,40.37,29.53,69.9,69.9,69.9,69.9,69.9,69.9,69.9,2,2,2,2,2,2,2,2,1,2,2,1,2,2,"UU","UU","UU","UU","UU","UU","UU"
106,0,1,1,0,0,0,0,3.9,0,29.96,2,37,0.8515434,"UU",42.77,39.43,37.17,43.03,45.23,40.77,41.4,53.6,53.6,53.6,53.6,53.6,53.6,53.6,0,0,0,0,0,0,0,1,1,1,3,2,1,2,"UU","UU","UU","UU","UU","UU","UU"
107,1,1,1,1,1,0,0,3.9,0,21.58,2,55,0.7623972,"UU",40.03,31.67,26.33,32.13,34.73,31.8,32.83,67.8,67.8,67.8,67.8,67.8,67.8,67.8,1,1,1,1,1,1,1,3,4,1,3,2,2,3,"UU","UU","UU","UU","UU","UU","UU"
108,1,0,0,0,0,0,0,3.9,0,31.71,1.9,33,0.9009288,"UU",29.33,28.23,27.87,36.2,24.37,35.8,34.13,45.2,45.2,45.2,45.2,45.2,45.2,45.2,0,0,0,0,0,0,0,2,3,1,3,2,2,2,"UU","UU","UU","UU","UU","UU","UU"
109,0,0,0,0,0,1,0,2.7,0,32.49,2.3,67,1.6792619,"UU",25.2,22.53,23.77,24.8,20.37,28.4,28.5,45.2,45.2,45.2,45.2,45.2,45.2,45.2,0,0,0,0,0,0,0,2,2,3,2,2,2,2,"UU","UU","UU","UU","UU","UU","UU"
110,0,0,0,0,0,0,0,3.9,0,26.02,2,47,0.8046825,"HB",5.23,8.8,9.67,5.2,5.17,4.73,6.03,47.3,47.3,47.3,47.3,47.3,47.3,47.3,0,0,0,0,0,0,0,1,1,1,1,2,2,2,"HB","HB","HB","HB","HB","HB","HB"
111,0,0,0,1,0,0,0,2.3,0,23.11,2.1,52,0.9378496,"HB",12.87,13.1,10.37,16,16.5,12.53,9.13,46.9,46.9,46.9,46.9,46.9,46.9,46.9,0,0,0,0,0,0,0,1,1,1,1,1,1,2,"HB","HB","HB","HB","HB","HB","HB"
112,0,0,0,0,0,0,1,2,0,12.58,1,50,1.0610764,"HU",24.9,20.7,24.7,20.77,19.37,19.77,20.87,56.4,56.4,56.4,56.4,56.4,56.4,56.4,1,1,1,1,1,1,1,1,1,1,1,3,2,2,"HU","HU","HU","HU","HU","HU","HU"
113,1,0,0,0,0,0,1,3.9,0,31.19,2.1,36,1.0604453,"HU",22.1,23.4,33.3,23.93,30.23,25.5,23.67,47.9,47.9,47.9,47.9,47.9,47.9,47.9,0,0,0,0,0,0,0,2,2,2,2,3,1,1,"HU","HU","HU","HU","HU","HU","HU"
114,0,1,0,0,0,0,1,4,0,35.17,1,22,0.3527981,"HB",11.57,13.47,10.57,8.57,15.53,16.8,11.53,49.7,49.7,49.7,49.7,49.7,49.7,49.7,0,0,0,0,0,0,0,2,2,2,1,1,2,2,"HB","HB","HB","HB","HB","HB","HB"
115,0,0,0,0,0,0,0,4,0,32.42,2,46,1.4607354,"HU",33.67,27.97,36.47,35.27,39.2,38.7,34.9,43.5,43.5,43.5,43.5,43.5,43.5,43.5,0,0,0,0,0,0,0,1,1,1,1,2,1,1,"HU","HU","HU","HU","HU","HU","HU"
116,0,0,0,0,0,0,0,4,0,23.93,1,40,1.0598142,"HU",30.73,21.97,23.9,20.37,23,21.3,26.23,58.4,58.4,58.4,58.4,58.4,58.4,58.4,0,0,0,0,0,0,0,1,1,1,1,2,3,2,"HU","HU","HU","HU","HU","HU","HU"
117,1,1,0,1,0,0,1,1.1,0,28.22,3.6,38,1.1898256,"HU",18.37,22.23,15.7,19.2,24.1,19.07,15.97,46.4,46.4,46.4,46.4,46.4,46.4,46.4,0,0,0,0,0,0,0,2,2,3,3,3,2,3,"HU","HU","HU","HU","HU","HU","HU"
118,1,0,1,0,0,0,0,3.9,0,27.12,2,43,0.6778267,"HB",7.87,22.03,14.63,15.63,19.27,12.47,15.1,40.8,40.8,40.8,40.8,40.8,40.8,40.8,0,0,0,0,0,0,0,1,1,1,2,2,2,1,"HB","HB","HB","HB","HB","HB","HB"
119,0,0,0,0,0,0,0,2.4,0,19.23,3.4,61,2.0391601,"BS",19.23,14.93,12.17,13.3,13.1,25.1,20.97,46,46,46,46,46,46,46,3,3,3,3,3,3,3,1,1,1,1,2,3,2,"BS","BS","BS","BS","BS","BS","BS"
120,1,0,0,0,0,0,1,1.3,0,27.97,2.1,44,1.8650752,"HB",24.4,36.1,29.2,28.53,24.6,25.9,35.83,49.1,49.1,49.1,49.1,49.1,49.1,49.1,0,0,0,0,0,0,0,1,1,1,2,1,3,2,"HB","HB","HB","HB","HB","HB","HB"
121,0,0,0,0,0,0,0,1.3,0,16.97,1.7,37,1.2764473,"BS",7.77,11.53,12.37,7.5,5.57,11.73,20.33,50.3,50.3,50.3,50.3,50.3,50.3,50.3,1,1,1,1,1,1,1,1,2,3,3,2,3,2,"BS","BS","BS","BS","BS","BS","BS"
122,0,0,0,0,0,0,1,1.4,0,22.45,1,35,1.1409136,"HB",24.83,16.97,16.67,15.43,15.9,17.8,9.3,42.4,42.4,42.4,42.4,42.4,42.4,42.4,0,0,0,0,0,0,0,2,2,4,2,1,1,2,"HB","HB","HB","HB","HB","HB","HB"
123,0,0,0,1,0,0,0,3.4,0,29.22,1.3,46,1.0423005,"BU",26.53,26.9,33.7,34.73,28.93,29.07,29.63,59.1,59.1,59.1,59.1,59.1,59.1,59.1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,"BU","BU","BU","BU","BU","BU","BU"
124,0,0,0,0,0,0,0,2.1,0,31.64,1.4,47,1.7213894,"HU",25.67,30.2,28.37,21.2,29.27,29.03,37.4,37.9,37.9,37.9,37.9,37.9,37.9,37.9,0,0,0,0,0,0,0,1,1,3,2,3,3,1,"HU","HU","HU","HU","HU","HU","HU"
125,0,0,1,0,0,0,0,2.7,0,15.29,1.4,49,0.7218475,"BS",30.8,21.03,31.77,38.1,22.97,23.07,16.93,56.9,56.9,56.9,56.9,56.9,56.9,56.9,2,2,2,2,2,2,2,3,2,3,3,2,1,1,"BS","BS","BS","BS","BS","BS","BS"
126,0,0,0,0,0,0,0,3.7,2,22.75,2.6,35,1.4940272,"BS",17,23.7,17.03,16.47,27.47,29.27,30.27,40.8,40.8,40.8,40.8,40.8,40.8,40.8,0,0,0,0,0,0,0,2,2,3,3,1,2,2,"BS","BS","BS","BS","BS","BS","BS"
127,0,0,0,0,0,0,1,3.1,2.3,23.85,3,30,1.7404809,"BS",16.2,18.33,17.73,17.63,28.27,20.9,15.4,63.6,63.6,63.6,63.6,63.6,63.6,63.6,1,1,1,1,1,1,1,1,1,2,4,3,3,2,"BS","BS","BS","BS","BS","BS","BS"
