"site_id","subplot","detect"
"9757 _ 1 _ 2023","1",0
"9757 _ 1 _ 2023","2",0
"9757 _ 1 _ 2023","3",0
"9757 _ 1 _ 2023","4",0
"9757 _ 1 _ 2023","5",0
"9757 _ 1 _ 2023","6",0
"9757 _ 1 _ 2023","7",1
"10024 _ 1 _ 2023","1",0
"10024 _ 1 _ 2023","2",0
"10024 _ 1 _ 2023","3",0
"10024 _ 1 _ 2023","4",0
"10024 _ 1 _ 2023","5",0
"10024 _ 1 _ 2023","6",0
"10024 _ 1 _ 2023","7",0
"10078 _ 1 _ 2023","1",0
"10078 _ 1 _ 2023","2",0
"10078 _ 1 _ 2023","3",0
"10078 _ 1 _ 2023","4",0
"10078 _ 1 _ 2023","5",0
"10078 _ 1 _ 2023","6",0
"10078 _ 1 _ 2023","7",0
"10153 _ 1 _ 2023","1",0
"10153 _ 1 _ 2023","2",0
"10153 _ 1 _ 2023","3",0
"10153 _ 1 _ 2023","4",0
"10153 _ 1 _ 2023","5",0
"10153 _ 1 _ 2023","6",0
"10153 _ 1 _ 2023","7",0
"10185 _ 1 _ 2023","1",0
"10185 _ 1 _ 2023","2",0
"10185 _ 1 _ 2023","3",0
"10185 _ 1 _ 2023","4",0
"10185 _ 1 _ 2023","5",1
"10185 _ 1 _ 2023","6",0
"10185 _ 1 _ 2023","7",0
"10258 _ 1 _ 2023","1",0
"10258 _ 1 _ 2023","2",0
"10258 _ 1 _ 2023","3",0
"10258 _ 1 _ 2023","4",0
"10258 _ 1 _ 2023","5",0
"10258 _ 1 _ 2023","6",0
"10258 _ 1 _ 2023","7",0
"10302 _ 1 _ 2023","1",0
"10302 _ 1 _ 2023","2",0
"10302 _ 1 _ 2023","3",0
"10302 _ 1 _ 2023","4",1
"10302 _ 1 _ 2023","5",0
"10302 _ 1 _ 2023","6",1
"10302 _ 1 _ 2023","7",1
"10399 _ 1 _ 2023","1",0
"10399 _ 1 _ 2023","2",0
"10399 _ 1 _ 2023","3",0
"10399 _ 1 _ 2023","4",0
"10399 _ 1 _ 2023","5",0
"10399 _ 1 _ 2023","6",0
"10399 _ 1 _ 2023","7",0
"10403 _ 1 _ 2023","1",0
"10403 _ 1 _ 2023","2",0
"10403 _ 1 _ 2023","3",0
"10403 _ 1 _ 2023","4",0
"10403 _ 1 _ 2023","5",0
"10403 _ 1 _ 2023","6",0
"10403 _ 1 _ 2023","7",1
"10422 _ 1 _ 2023","1",0
"10422 _ 1 _ 2023","2",0
"10422 _ 1 _ 2023","3",0
"10422 _ 1 _ 2023","4",0
"10422 _ 1 _ 2023","5",0
"10422 _ 1 _ 2023","6",0
"10422 _ 1 _ 2023","7",0
"10439 _ 1 _ 2023","1",1
"10439 _ 1 _ 2023","2",0
"10439 _ 1 _ 2023","3",1
"10439 _ 1 _ 2023","4",0
"10439 _ 1 _ 2023","5",1
"10439 _ 1 _ 2023","6",0
"10439 _ 1 _ 2023","7",1
"10444 _ 1 _ 2023","1",0
"10444 _ 1 _ 2023","2",0
"10444 _ 1 _ 2023","3",0
"10444 _ 1 _ 2023","4",0
"10444 _ 1 _ 2023","5",1
"10444 _ 1 _ 2023","6",0
"10444 _ 1 _ 2023","7",0
"10467 _ 1 _ 2023","1",0
"10467 _ 1 _ 2023","2",0
"10467 _ 1 _ 2023","3",0
"10467 _ 1 _ 2023","4",0
"10467 _ 1 _ 2023","5",0
"10467 _ 1 _ 2023","6",0
"10467 _ 1 _ 2023","7",0
"10488 _ 1 _ 2023","1",0
"10488 _ 1 _ 2023","2",0
"10488 _ 1 _ 2023","3",0
"10488 _ 1 _ 2023","4",0
"10488 _ 1 _ 2023","5",0
"10488 _ 1 _ 2023","6",0
"10488 _ 1 _ 2023","7",1
"10498 _ 1 _ 2023","1",0
"10498 _ 1 _ 2023","2",0
"10498 _ 1 _ 2023","3",0
"10498 _ 1 _ 2023","4",0
"10498 _ 1 _ 2023","5",0
"10498 _ 1 _ 2023","6",0
"10498 _ 1 _ 2023","7",0
"10506 _ 1 _ 2023","1",0
"10506 _ 1 _ 2023","2",1
"10506 _ 1 _ 2023","3",1
"10506 _ 1 _ 2023","4",0
"10506 _ 1 _ 2023","5",0
"10506 _ 1 _ 2023","6",0
"10506 _ 1 _ 2023","7",0
"10550 _ 1 _ 2023","1",0
"10550 _ 1 _ 2023","2",0
"10550 _ 1 _ 2023","3",0
"10550 _ 1 _ 2023","4",0
"10550 _ 1 _ 2023","5",0
"10550 _ 1 _ 2023","6",0
"10550 _ 1 _ 2023","7",0
"10553 _ 1 _ 2023","1",1
"10553 _ 1 _ 2023","2",0
"10553 _ 1 _ 2023","3",0
"10553 _ 1 _ 2023","4",1
"10553 _ 1 _ 2023","5",0
"10553 _ 1 _ 2023","6",0
"10553 _ 1 _ 2023","7",1
"10597 _ 1 _ 2023","1",0
"10597 _ 1 _ 2023","2",0
"10597 _ 1 _ 2023","3",0
"10597 _ 1 _ 2023","4",0
"10597 _ 1 _ 2023","5",0
"10597 _ 1 _ 2023","6",0
"10597 _ 1 _ 2023","7",0
"10956 _ 1 _ 2023","1",0
"10956 _ 1 _ 2023","2",0
"10956 _ 1 _ 2023","3",0
"10956 _ 1 _ 2023","4",0
"10956 _ 1 _ 2023","5",0
"10956 _ 1 _ 2023","6",0
"10956 _ 1 _ 2023","7",0
"10963 _ 1 _ 2023","1",0
"10963 _ 1 _ 2023","2",0
"10963 _ 1 _ 2023","3",0
"10963 _ 1 _ 2023","4",1
"10963 _ 1 _ 2023","5",0
"10963 _ 1 _ 2023","6",0
"10963 _ 1 _ 2023","7",0
"10965 _ 1 _ 2023","1",0
"10965 _ 1 _ 2023","2",0
"10965 _ 1 _ 2023","3",0
"10965 _ 1 _ 2023","4",0
"10965 _ 1 _ 2023","5",0
"10965 _ 1 _ 2023","6",0
"10965 _ 1 _ 2023","7",0
"10968 _ 1 _ 2023","1",0
"10968 _ 1 _ 2023","2",0
"10968 _ 1 _ 2023","3",0
"10968 _ 1 _ 2023","4",0
"10968 _ 1 _ 2023","5",0
"10968 _ 1 _ 2023","6",0
"10968 _ 1 _ 2023","7",0
"11079 _ 1 _ 2023","1",0
"11079 _ 1 _ 2023","2",0
"11079 _ 1 _ 2023","3",0
"11079 _ 1 _ 2023","4",0
"11079 _ 1 _ 2023","5",0
"11079 _ 1 _ 2023","6",0
"11079 _ 1 _ 2023","7",0
"12033 _ 1 _ 2023","1",0
"12033 _ 1 _ 2023","2",1
"12033 _ 1 _ 2023","3",0
"12033 _ 1 _ 2023","4",0
"12033 _ 1 _ 2023","5",1
"12033 _ 1 _ 2023","6",0
"12033 _ 1 _ 2023","7",1
"12098 _ 1 _ 2023","1",0
"12098 _ 1 _ 2023","2",0
"12098 _ 1 _ 2023","3",0
"12098 _ 1 _ 2023","4",0
"12098 _ 1 _ 2023","5",0
"12098 _ 1 _ 2023","6",1
"12098 _ 1 _ 2023","7",0
"12213 _ 1 _ 2023","1",1
"12213 _ 1 _ 2023","2",1
"12213 _ 1 _ 2023","3",0
"12213 _ 1 _ 2023","4",0
"12213 _ 1 _ 2023","5",1
"12213 _ 1 _ 2023","6",0
"12213 _ 1 _ 2023","7",1
"12239 _ 1 _ 2023","1",0
"12239 _ 1 _ 2023","2",0
"12239 _ 1 _ 2023","3",0
"12239 _ 1 _ 2023","4",0
"12239 _ 1 _ 2023","5",0
"12239 _ 1 _ 2023","6",0
"12239 _ 1 _ 2023","7",0
"12349 _ 1 _ 2023","1",1
"12349 _ 1 _ 2023","2",1
"12349 _ 1 _ 2023","3",0
"12349 _ 1 _ 2023","4",1
"12349 _ 1 _ 2023","5",0
"12349 _ 1 _ 2023","6",1
"12349 _ 1 _ 2023","7",1
"12351 _ 1 _ 2023","1",0
"12351 _ 1 _ 2023","2",0
"12351 _ 1 _ 2023","3",0
"12351 _ 1 _ 2023","4",0
"12351 _ 1 _ 2023","5",0
"12351 _ 1 _ 2023","6",0
"12351 _ 1 _ 2023","7",0
"12362 _ 1 _ 2023","1",0
"12362 _ 1 _ 2023","2",0
"12362 _ 1 _ 2023","3",0
"12362 _ 1 _ 2023","4",0
"12362 _ 1 _ 2023","5",0
"12362 _ 1 _ 2023","6",0
"12362 _ 1 _ 2023","7",0
"12364 _ 1 _ 2023","1",0
"12364 _ 1 _ 2023","2",0
"12364 _ 1 _ 2023","3",0
"12364 _ 1 _ 2023","4",0
"12364 _ 1 _ 2023","5",0
"12364 _ 1 _ 2023","6",0
"12364 _ 1 _ 2023","7",0
"12392 _ 1 _ 2023","1",0
"12392 _ 1 _ 2023","2",0
"12392 _ 1 _ 2023","3",0
"12392 _ 1 _ 2023","4",0
"12392 _ 1 _ 2023","5",0
"12392 _ 1 _ 2023","6",0
"12392 _ 1 _ 2023","7",0
"12421 _ 1 _ 2023","1",1
"12421 _ 1 _ 2023","2",1
"12421 _ 1 _ 2023","3",1
"12421 _ 1 _ 2023","4",0
"12421 _ 1 _ 2023","5",1
"12421 _ 1 _ 2023","6",0
"12421 _ 1 _ 2023","7",0
"12441 _ 1 _ 2023","1",0
"12441 _ 1 _ 2023","2",0
"12441 _ 1 _ 2023","3",1
"12441 _ 1 _ 2023","4",1
"12441 _ 1 _ 2023","5",1
"12441 _ 1 _ 2023","6",0
"12441 _ 1 _ 2023","7",0
"12560 _ 1 _ 2023","1",0
"12560 _ 1 _ 2023","2",0
"12560 _ 1 _ 2023","3",0
"12560 _ 1 _ 2023","4",0
"12560 _ 1 _ 2023","5",0
"12560 _ 1 _ 2023","6",0
"12560 _ 1 _ 2023","7",0
"12804 _ 1 _ 2023","1",1
"12804 _ 1 _ 2023","2",0
"12804 _ 1 _ 2023","3",0
"12804 _ 1 _ 2023","4",0
"12804 _ 1 _ 2023","5",1
"12804 _ 1 _ 2023","6",1
"12804 _ 1 _ 2023","7",1
"12805 _ 1 _ 2023","1",0
"12805 _ 1 _ 2023","2",0
"12805 _ 1 _ 2023","3",0
"12805 _ 1 _ 2023","4",0
"12805 _ 1 _ 2023","5",0
"12805 _ 1 _ 2023","6",0
"12805 _ 1 _ 2023","7",0
"13924 _ 1 _ 2023","1",0
"13924 _ 1 _ 2023","2",0
"13924 _ 1 _ 2023","3",0
"13924 _ 1 _ 2023","4",0
"13924 _ 1 _ 2023","5",0
"13924 _ 1 _ 2023","6",0
"13924 _ 1 _ 2023","7",0
"15562 _ 1 _ 2023","1",0
"15562 _ 1 _ 2023","2",0
"15562 _ 1 _ 2023","3",0
"15562 _ 1 _ 2023","4",0
"15562 _ 1 _ 2023","5",1
"15562 _ 1 _ 2023","6",0
"15562 _ 1 _ 2023","7",0
"16804 _ 1 _ 2023","1",0
"16804 _ 1 _ 2023","2",0
"16804 _ 1 _ 2023","3",0
"16804 _ 1 _ 2023","4",0
"16804 _ 1 _ 2023","5",0
"16804 _ 1 _ 2023","6",0
"16804 _ 1 _ 2023","7",0
"20039 _ 1 _ 2023","1",0
"20039 _ 1 _ 2023","2",0
"20039 _ 1 _ 2023","3",0
"20039 _ 1 _ 2023","4",0
"20039 _ 1 _ 2023","5",0
"20039 _ 1 _ 2023","6",0
"20039 _ 1 _ 2023","7",0
"20053 _ 1 _ 2023","7",0
"20053 _ 1 _ 2023","1",0
"20053 _ 1 _ 2023","2",0
"20053 _ 1 _ 2023","3",0
"20053 _ 1 _ 2023","4",0
"20053 _ 1 _ 2023","5",0
"20053 _ 1 _ 2023","6",0
"20550 _ 1 _ 2023","1",0
"20550 _ 1 _ 2023","2",0
"20550 _ 1 _ 2023","3",0
"20550 _ 1 _ 2023","4",0
"20550 _ 1 _ 2023","5",0
"20550 _ 1 _ 2023","6",0
"20550 _ 1 _ 2023","7",0
"20616 _ 1 _ 2023","1",0
"20616 _ 1 _ 2023","2",0
"20616 _ 1 _ 2023","3",0
"20616 _ 1 _ 2023","4",0
"20616 _ 1 _ 2023","5",0
"20616 _ 1 _ 2023","6",0
"20616 _ 1 _ 2023","7",0
"21026 _ 1 _ 2023","1",0
"21026 _ 1 _ 2023","2",0
"21026 _ 1 _ 2023","3",0
"21026 _ 1 _ 2023","4",0
"21026 _ 1 _ 2023","5",0
"21026 _ 1 _ 2023","6",0
"21026 _ 1 _ 2023","7",0
"21159 _ 1 _ 2023","1",0
"21159 _ 1 _ 2023","2",0
"21159 _ 1 _ 2023","3",0
"21159 _ 1 _ 2023","4",0
"21159 _ 1 _ 2023","5",0
"21159 _ 1 _ 2023","6",0
"21159 _ 1 _ 2023","7",0
"25954 _ 1 _ 2023","1",0
"25954 _ 1 _ 2023","2",0
"25954 _ 1 _ 2023","3",0
"25954 _ 1 _ 2023","4",0
"25954 _ 1 _ 2023","5",0
"25954 _ 1 _ 2023","6",0
"25954 _ 1 _ 2023","7",0
"29121 _ 1 _ 2023","1",0
"29121 _ 1 _ 2023","2",0
"29121 _ 1 _ 2023","3",0
"29121 _ 1 _ 2023","4",0
"29121 _ 1 _ 2023","5",0
"29121 _ 1 _ 2023","6",1
"29121 _ 1 _ 2023","7",1
"29122 _ 1 _ 2023","1",1
"29122 _ 1 _ 2023","2",1
"29122 _ 1 _ 2023","3",0
"29122 _ 1 _ 2023","4",0
"29122 _ 1 _ 2023","5",1
"29122 _ 1 _ 2023","6",1
"29122 _ 1 _ 2023","7",1
"29123 _ 1 _ 2023","1",0
"29123 _ 1 _ 2023","2",0
"29123 _ 1 _ 2023","3",0
"29123 _ 1 _ 2023","4",0
"29123 _ 1 _ 2023","5",0
"29123 _ 1 _ 2023","6",0
"29123 _ 1 _ 2023","7",0
"29429 _ 1 _ 2023","1",0
"29429 _ 1 _ 2023","2",1
"29429 _ 1 _ 2023","3",0
"29429 _ 1 _ 2023","4",0
"29429 _ 1 _ 2023","5",0
"29429 _ 1 _ 2023","6",0
"29429 _ 1 _ 2023","7",0
"29431 _ 1 _ 2023","1",0
"29431 _ 1 _ 2023","2",0
"29431 _ 1 _ 2023","3",1
"29431 _ 1 _ 2023","4",0
"29431 _ 1 _ 2023","5",0
"29431 _ 1 _ 2023","6",0
"29431 _ 1 _ 2023","7",0
"29889 _ 1 _ 2023","1",0
"29889 _ 1 _ 2023","2",0
"29889 _ 1 _ 2023","3",0
"29889 _ 1 _ 2023","4",0
"29889 _ 1 _ 2023","5",0
"29889 _ 1 _ 2023","6",0
"29889 _ 1 _ 2023","7",0
"33628 _ 1 _ 2023","1",0
"33628 _ 1 _ 2023","2",1
"33628 _ 1 _ 2023","3",0
"33628 _ 1 _ 2023","4",0
"33628 _ 1 _ 2023","5",0
"33628 _ 1 _ 2023","6",0
"33628 _ 1 _ 2023","7",0
"33651 _ 1 _ 2023","1",1
"33651 _ 1 _ 2023","2",0
"33651 _ 1 _ 2023","3",1
"33651 _ 1 _ 2023","4",0
"33651 _ 1 _ 2023","5",0
"33651 _ 1 _ 2023","6",0
"33651 _ 1 _ 2023","7",0
"33689 _ 1 _ 2023","1",0
"33689 _ 1 _ 2023","2",0
"33689 _ 1 _ 2023","3",0
"33689 _ 1 _ 2023","4",0
"33689 _ 1 _ 2023","5",0
"33689 _ 1 _ 2023","6",0
"33689 _ 1 _ 2023","7",0
"33754 _ 1 _ 2023","1",0
"33754 _ 1 _ 2023","2",0
"33754 _ 1 _ 2023","3",0
"33754 _ 1 _ 2023","4",0
"33754 _ 1 _ 2023","5",0
"33754 _ 1 _ 2023","6",1
"33754 _ 1 _ 2023","7",0
"33810 _ 1 _ 2023","1",0
"33810 _ 1 _ 2023","2",0
"33810 _ 1 _ 2023","3",0
"33810 _ 1 _ 2023","4",1
"33810 _ 1 _ 2023","5",0
"33810 _ 1 _ 2023","6",0
"33810 _ 1 _ 2023","7",1
"34007 _ 1 _ 2023","1",0
"34007 _ 1 _ 2023","2",1
"34007 _ 1 _ 2023","3",0
"34007 _ 1 _ 2023","4",1
"34007 _ 1 _ 2023","5",0
"34007 _ 1 _ 2023","6",1
"34007 _ 1 _ 2023","7",0
"34017 _ 1 _ 2023","1",0
"34017 _ 1 _ 2023","2",0
"34017 _ 1 _ 2023","3",0
"34017 _ 1 _ 2023","4",0
"34017 _ 1 _ 2023","5",0
"34017 _ 1 _ 2023","6",0
"34017 _ 1 _ 2023","7",0
"408143 _ 1 _ 2023","1",0
"408143 _ 1 _ 2023","2",0
"408143 _ 1 _ 2023","3",0
"408143 _ 1 _ 2023","4",0
"408143 _ 1 _ 2023","5",1
"408143 _ 1 _ 2023","6",0
"408143 _ 1 _ 2023","7",0
"408161 _ 1 _ 2023","1",0
"408161 _ 1 _ 2023","2",0
"408161 _ 1 _ 2023","3",0
"408161 _ 1 _ 2023","4",0
"408161 _ 1 _ 2023","5",0
"408161 _ 1 _ 2023","6",0
"408161 _ 1 _ 2023","7",0
"408162 _ 1 _ 2023","1",0
"408162 _ 1 _ 2023","2",0
"408162 _ 1 _ 2023","3",1
