Tree Farm,Owner,Stand #,Sub-Plot 1,Sub-Plot 2,Sub-Plot 3,Sub-Plot 4,Sub-Plot 5,Sub-Plot 6,Sub-Plot 7
CL,BLM,9757,486,478,472,465,460,466,475
CL,WY,10078,604,603,599,614,588,581,585
CL,WY,10153,738,748,762,770,773,760,746
CL,WY,10185,631,634,643,647,636,639,643
CL,BLM,10302,884,872,860,848,828,824,794
CL,WY,10399,886,900,892,883,867,862,861
CL,BLM,10439,810,817,826,846,850,864,855
CL,WY,10444,623,626,635,644,654,645,649
CL,WY,10467,548,534,514,504,495,492,483
CL,WY,10482,808,810,813,811,806,807,814
CL,WY,10488,890,679,665,650,677,687,704
CL,WY,10498,915,902,890,883,876,860,844
CL,WY,10506,385,389,401,429,409,404,397
CL,WY,10553,895,881,892,876,863,859,845
CL,WY,10597,785,777,770,761,747,737,748
CL,WY,10711,*,*,*,*,*,*,*
CL,WY,10963,698,693,691,700,708,714,712
CL,WY,10965,853,849,831,851,868,874,882
CL,WY,10968,*,*,*,*,*,*,*
CL,WY,11079,603,605,606,604,617,628,642
CL,BLM,12213,230,222,219,210,188,189,197
CL,BLM,12239,240,244,251,244,229,210,211
SP,ODF,12362,614,598,604,602,600,591,592
SP,ODF,12364,528,526,530,536,537,536,530
SP,ODF,12605,708,697,702,705,712,712,709
SP,ODF,12638,931,944,939,942,925,898,911
CL,BLM,13924,317,318,307,290,289,292,294
CL,BLM,15562,418,425,425,429,438,440,442
CL,BLM,16804,469,470,458,452,475,462,443
SP,WY,20031,600,604,606,608,614,621,626
SP,WY,20039,880,900,909,910,913,909,904
SP,WY,20053,782,768,760,759,752,738,736
SP,WY,20088,580,584,592,608,615,611,595
SP,WY,20090,582,580,578,585,582,588,590
SP,WY,20194,767,780,787,783,795,796,785
SP,WY,20232,692,677,663,665,671,685,693
SP,WY,20236,874,881,896,902,911,915,934
SP,WY,20237,*,*,*,*,*,*,*
SP,WY,20281,434,430,427,433,452,460,468
SP,WY,20283,516,512,510,504,480,467,460
SP,WY,20288,486,487,494,496,499,501,499
SP,WY,20291,*,*,*,*,*,*,*
SP,WY,20360,301,316,328,344,371,393,422
SP,WY,20361,344,328,318,310,309,307,305
SP,WY,20497,380,363,355,346,340,337,327
SP,WY,20535,659,670,685,680,697,671,656
SP,WY,20536,665,681,696,695,704,711,701
SP,WY,20538,*,*,*,*,*,*,*
SP,WY,20540,859,858,853,834,821,806,825
SP,WY,20543,762,740,730,725,719,700,692
SP,WY,20550,553,563,556,563,567,565,567
SP,WY,20560,613,622,631,630,607,586,611
SP,WY,20565,646,646,651,643,647,652,667
SP,WY,20571,286,301,312,335,339,334,324
SP,WY,20600,525,541,538,523,535,529,548
SP,WY,20616,359,324,363,355,353,369,434
SP,WY,20626,*,*,*,*,*,*,*
SP,WY,20666,310,311,307,297,292,278,265
SP,WY,20698,652,656,665,680,678,677,674
SP,WY,20818,261,257,251,242,240,250,270
SP,WY,21019,643,646,647,646,647,632,617
SP,WY,21026,869,864,867,860,842,834,836
SP,WY,21029,957,960,958,947,944,932,907
SP,WY,21159,943,928,910,892,881,875,873
SP,WY,21213,298,304,321,329,332,332,314
SP,BLM,25954,343,331,333,335,328,337,344
SP,BLM,29121,353,374,397,399,399,393,404
SP,BLM,29122,437,437,448,460,463,460,455
SP,BLM,29123,368,381,391,408,416,421,417
SP,BLM,29429,444,465,483,482,483,490,497
SP,BLM,29431,487,498,515,526,533,519,527
SP,BLM,29889,535,525,522,506,499,510,513
CL,PBTF,33554,169,168,167,169,167,172,183
CL,PBTF,33628,503,496,487,474,472,467,461
CL,PBTF,33651,558,549,547,551,546,543,538
CL,PBTF,33689,560,563,575,568,558,570,587
CL,PBTF,33754,449,443,451,463,470,465,452
CL,PBTF,33810,711,737,741,733,729,721,754
CL,PBTF,34007,704,684,677,676,665,667,662
CL,PBTF,34017,197,192,206,208,212,210,206
SP,BLM,35466,697,713,733,749,746,751,745
CL,PBTF,408143,392,398,404,415,425,448,465
CL,PBTF,408161,518,528,546,553,556,552,540
CL,PBTF,408162,625,629,626,619,599,581,564
CL,PBTF,408178,499,511,528,549,544,532,517
CL,PBTF,408180,596,583,580,572,551,582,594
SP,ODF,12407C,946,941,930,932,926,918,913
SP,ODF,12407T,892,874,872,858,842,833,822