"site_id","landowner","stand","site_rep","trt","year","date","date_mdy","sal_id","sal_rep","obs","subplot","pass","spp","cover_obj","substrate","age_class"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/21/2023",2023-04-21,"34007 _ 1 _ 2023 _ 1",1,"JW",2,"3","ENES","D","D","A"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 1",1,"JW",2,"1","ENES","L","L","J"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 2",2,"JW",3,"2","ENES","L","D","A"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 1",1,"JW",4,"3","ENES","L","L","J"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 3",3,"BZ",3,"3","ENES","M","L","A"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 4",4,"JB",7,"3","OSS","M","W","SA"
"10439 _ 1 _ 2023","BLM","10439",1,"UU",2023,"5/4/2023",2023-05-04,"10439 _ 1 _ 2023 _ 1",1,"JB",1,"3","OSS","O","L","J"
"33628 _ 1 _ 2023","PB","33628",1,"HB",2023,"4/6/2023",2023-04-06,"33628 _ 1 _ 2023 _ 1",1,"JB",2,"1","OSS","O","O","A"
"33628 _ 1 _ 2023","PB","33628",1,"HB",2023,"4/6/2023",2023-04-06,"33628 _ 1 _ 2023 _ 2",2,"JB",2,"1","OSS","O","O","J"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 1",1,"JW",5,"3","ENES","R","D","A"
"33628 _ 1 _ 2023","PB","33628",1,"HB",2023,"4/6/2023",2023-04-06,"33628 _ 1 _ 2023 _ 3",3,"JW",2,"2","OSS","R","O","A"
"33628 _ 1 _ 2023","PB","33628",1,"HB",2023,"4/6/2023",2023-04-06,"33628 _ 1 _ 2023 _ 4",4,"JW",2,"2","OSS","R","O","A"
"408178 _ 2 _ 2023","PB","408178",2,"HB",2023,"4/19/2023",2023-04-19,"408178 _ 2 _ 2023 _ 1",1,"BZ",5,"3","OSS","R","D","J"
"9757 _ 1 _ 2023","PB","9757",1,"BU",2023,"4/19/2023",2023-04-19,"9757 _ 1 _ 2023 _ 1",1,"JW",5,"2","ENES","R","R",""
"10597 _ 1 _ 2023","WY","10597",1,"HB",2023,"3/23/2023",2023-03-23,"10597 _ 1 _ 2023 _ 1",1,"JB",5,"3","PLDU","R","D","A"
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 1",1,"JW",4,"2","OSS","W","W","A"
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 2",2,"BZ",6,"1","OSS","W","W","J"
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 3",3,"BZ",6,"1","OSS","W","W","J"
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 4",4,"JW",6,"3","OSS","W","M","J"
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 5",5,"JB",6,"2","OSS","W","W","A"
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 6",6,"JB",6,"2","ENES","W","W","J"
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 7",7,"BZ",7,"1","ENES","W","W",""
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 8",8,"JW",7,"3","ENES","W","W","A"
"10302 _ 1 _ 2023","BLM","10302",1,"UU",2023,"5/1/2023",2023-05-01,"10302 _ 1 _ 2023 _ 9",9,"JB",7,"2","OSS","W","W","A"
"10439 _ 1 _ 2023","BLM","10439",1,"UU",2023,"5/4/2023",2023-05-04,"10439 _ 1 _ 2023 _ 2",2,"JW",3,"2","OSS","W","W","A"
"10439 _ 1 _ 2023","BLM","10439",1,"UU",2023,"5/4/2023",2023-05-04,"10439 _ 1 _ 2023 _ 3",3,"JW",3,"2","ENES","W","W","A"
"10439 _ 1 _ 2023","BLM","10439",1,"UU",2023,"5/4/2023",2023-05-04,"10439 _ 1 _ 2023 _ 4",4,"JW",5,"2","OSS","W","W","SA"
"10439 _ 1 _ 2023","BLM","10439",1,"UU",2023,"5/4/2023",2023-05-04,"10439 _ 1 _ 2023 _ 5",5,"BZ",5,"3","OSS","W","W","SA"
"10439 _ 1 _ 2023","BLM","10439",1,"UU",2023,"5/4/2023",2023-05-04,"10439 _ 1 _ 2023 _ 6",6,"JW",7,"3","OSS","W","W","SA"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 5",5,"JW",1,"1","OSS","W","W","A"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 6",6,"JW",1,"1","ENES","W","W","SA"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 7",7,"JB",1,"2","OSS","W","W","A"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 8",8,"JB",2,"2","OSS","W","W","A"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 9",9,"JB",4,"1","ENES","W","W","J"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 10",10,"JB",5,"3","OSS","W","W",""
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 11",11,"JB",5,"3","ENES","W","W","SA"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 12",12,"JB",5,"3","OSS","W","W","J"
"12213 _ 1 _ 2023","BLM","12213",1,"UU",2023,"4/24/2023",2023-04-24,"12213 _ 1 _ 2023 _ 13",13,"JB",7,"3","OSS","W","W","J"
"13924 _ 1 _ 2023","BLM","13924",1,"UU",2023,"3/16/2023",2023-03-16,"13924 _ 1 _ 2023 _ 1",1,"JW",3,"1","ENES","W","W","A"
"15562 _ 1 _ 2023","BLM","15562",1,"BU",2023,"3/27/2023",2023-03-27,"15562 _ 1 _ 2023 _ 1",1,"JB",2,"1","ENES","W","W",""
"15562 _ 1 _ 2023","BLM","15562",1,"BU",2023,"3/27/2023",2023-03-27,"15562 _ 1 _ 2023 _ 2",2,"BZ",2,"2","ENES","W","W",""
"15562 _ 1 _ 2023","BLM","15562",1,"BU",2023,"3/27/2023",2023-03-27,"15562 _ 1 _ 2023 _ 3",3,"JW",5,"1","OSS","W","W","J"
"15562 _ 1 _ 2023","BLM","15562",1,"BU",2023,"3/27/2023",2023-03-27,"15562 _ 1 _ 2023 _ 4",4,"BZ",6,"1","ENES","W","W","SA"
"15562 _ 1 _ 2023","BLM","15562",1,"BU",2023,"3/27/2023",2023-03-27,"15562 _ 1 _ 2023 _ 5",5,"BZ",6,"1","ENES","W","W","SA"
"29121 _ 1 _ 2023","BLM","29121",1,"UU",2023,"5/15/2023",2023-05-15,"29121 _ 1 _ 2023 _ 1",1,"JW",4,"1","ENES","W","D","A"
"29121 _ 1 _ 2023","BLM","29121",1,"UU",2023,"5/15/2023",2023-05-15,"29121 _ 1 _ 2023 _ 2",2,"BZ",6,"1","OSS","W","W","A"
"29121 _ 1 _ 2023","BLM","29121",1,"UU",2023,"5/15/2023",2023-05-15,"29121 _ 1 _ 2023 _ 3",3,"JB",7,"3","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 1",1,"JB",1,"1","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 2",2,"JW",1,"2","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 3",3,"JB",2,"1","ENES","W","D","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 4",4,"JB",2,"1","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 5",5,"JW",2,"2","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 6",6,"JW",2,"2","ENES","W","D","J"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 7",7,"JW",3,"1","ENES","W","D","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 8",8,"JW",3,"1","ENES","W","D","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 9",9,"JB",5,"2","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 10",10,"JB",5,"2","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 11",11,"JB",5,"2","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 12",12,"BZ",6,"1","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 13",13,"BZ",6,"1","OSS","W","W","A"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 14",14,"BZ",7,"1","OSS","W","W","A"
"29123 _ 1 _ 2023","BLM","29123",1,"UU",2023,"5/16/2023",2023-05-16,"29123 _ 1 _ 2023 _ 1",1,"BZ",6,"3","ENES","W","W","SA"
"29429 _ 1 _ 2023","BLM","29429",1,"UU",2023,"5/18/2023",2023-05-18,"29429 _ 1 _ 2023 _ 1",1,"JW",2,"2","OSS","W","W","A"
"29429 _ 1 _ 2023","BLM","29429",1,"UU",2023,"5/18/2023",2023-05-18,"29429 _ 1 _ 2023 _ 2",2,"BZ",6,"2","ENES","W","W","A"
"29889 _ 1 _ 2023","BLM","29889",1,"UU",2023,"5/18/2023",2023-05-18,"29889 _ 1 _ 2023 _ 1",1,"BZ",4,"1","ENES","W","W","A"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 2",2,"JB",2,"1","OSS","W","W","J"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 3",3,"JB",2,"1","ENES","W","W","J"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 4",4,"JW",2,"2","ENES","W","W","A"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 5",5,"JB",3,"2","ENES","W","W","J"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 6",6,"JW",5,"3","OSS","W","W","SA"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 7",7,"JW",5,"3","ENES","W","L","J"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 8",8,"BZ",5,"1","ENES","W","W","A"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 9",9,"JB",5,"2","OSS","W","D","SA"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 10",10,"JB",5,"2","ENES","W","W","SA"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 11",11,"JW",6,"1","ENES","W","D","SA"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 12",12,"JW",6,"1","ENES","W","D","J"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 13",13,"BZ",6,"2","ENES","W","D","A"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 14",14,"BZ",7,"2","ENES","W","D","A"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 15",15,"BZ",7,"2","ENES","W","D","A"
"12098 _ 1 _ 2023","ODF","12098",1,"BU",2023,"5/2/2023",2023-05-02,"12098 _ 1 _ 2023 _ 1",1,"JB",6,"3","OSS","W","W","A"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 2",2,"BZ",1,"1","OSS","W","W","SA"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 3",3,"JB",1,"3","OSS","W","D","SA"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 4",4,"BZ",2,"1","OSS","W","W","A"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 5",5,"JB",4,"1","OSS","W","W","A"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 6",6,"BZ",4,"2","OSS","W","W","A"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 7",7,"JW",4,"3","OSS","W","W","A"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 8",8,"JW",6,"1","OSS","W","W","A"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 9",9,"JW",7,"1","OSS","W","W","J"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 10",10,"JW",7,"1","ENES","W","W","A"
