"site_id","landowner","stand","site_rep","trt","year","date","date_mdy","sal_id","sal_rep","obs","subplot","pass","spp","cover_obj","substrate","age_class","svl","sample_id","recap"
"15562 _ 1 _ 2023","BLM","15562",1,"BU",2023,"3/27/2023",2023-03-27,"15562 _ 1 _ 2023 _ 3",3,"JW","5","1","OSS","W","W","J",NA,NA,"0"
"15562 _ 1 _ 2023","BLM","15562",1,"BU",2023,"3/27/2023",2023-03-27,"15562 _ 1 _ 2023 _ 4",4,"BZ","6","1","ENES","W","W","SA",NA,NA,"0"
"15562 _ 1 _ 2023","BLM","15562",1,"BU",2023,"3/27/2023",2023-03-27,"15562 _ 1 _ 2023 _ 5",5,"BZ","6","1","ENES","W","W","SA",NA,NA,"0"
"29121 _ 1 _ 2023","BLM","29121",1,"UU",2023,"5/15/2023",2023-05-15,"29121 _ 1 _ 2023 _ 1",1,"JW","4","1","ENES","W","D","A",NA,NA,"0"
"29121 _ 1 _ 2023","BLM","29121",1,"UU",2023,"5/15/2023",2023-05-15,"29121 _ 1 _ 2023 _ 2",2,"BZ","6","1","OSS","W","W","A",NA,NA,"0"
"29121 _ 1 _ 2023","BLM","29121",1,"UU",2023,"5/15/2023",2023-05-15,"29121 _ 1 _ 2023 _ 3",3,"JB","7","3","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 1",1,"JB","1","1","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 2",2,"JW","1","2","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 3",3,"JB","2","1","ENES","W","D","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 4",4,"JB","2","1","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 5",5,"JW","2","2","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 6",6,"JW","2","2","ENES","W","D","J",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 7",7,"JW","3","1","ENES","W","D","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 8",8,"JW","3","1","ENES","W","D","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 9",9,"JB","5","2","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 10",10,"JB","5","2","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 11",11,"JB","5","2","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 12",12,"BZ","6","1","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 13",13,"BZ","6","1","OSS","W","W","A",NA,NA,"0"
"29122 _ 1 _ 2023","BLM","29122",1,"UU",2023,"5/16/2023",2023-05-16,"29122 _ 1 _ 2023 _ 14",14,"BZ","7","1","OSS","W","W","A",NA,NA,"0"
"29123 _ 1 _ 2023","BLM","29123",1,"UU",2023,"5/16/2023",2023-05-16,"29123 _ 1 _ 2023 _ 1",1,"BZ","6","3","ENES","W","W","SA",NA,NA,"0"
"29429 _ 1 _ 2023","BLM","29429",1,"UU",2023,"5/18/2023",2023-05-18,"29429 _ 1 _ 2023 _ 1",1,"JW","2","2","OSS","W","W","A",NA,NA,"0"
"29429 _ 1 _ 2023","BLM","29429",1,"UU",2023,"5/18/2023",2023-05-18,"29429 _ 1 _ 2023 _ 2",2,"BZ","6","2","ENES","W","W","A",NA,NA,"0"
"29889 _ 1 _ 2023","BLM","29889",1,"UU",2023,"5/18/2023",2023-05-18,"29889 _ 1 _ 2023 _ 1",1,"BZ","4","1","ENES","W","W","A",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 2",2,"JB","2","1","OSS","W","W","J",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 3",3,"JB","2","1","ENES","W","W","J",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 4",4,"JW","2","2","ENES","W","W","A",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 5",5,"JB","3","2","ENES","W","W","J",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 6",6,"JW","5","3","OSS","W","W","SA",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 7",7,"JW","5","3","ENES","W","L","J",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 8",8,"BZ","5","1","ENES","W","W","A",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 9",9,"JB","5","2","OSS","W","D","SA",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 10",10,"JB","5","2","ENES","W","W","SA",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 11",11,"JW","6","1","ENES","W","D","SA",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 12",12,"JW","6","1","ENES","W","D","J",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 13",13,"BZ","6","2","ENES","W","D","A",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 14",14,"BZ","7","2","ENES","W","D","A",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 15",15,"BZ","7","2","ENES","W","D","A",NA,NA,"0"
"12098 _ 1 _ 2023","ODF","12098",1,"BU",2023,"5/2/2023",2023-05-02,"12098 _ 1 _ 2023 _ 1",1,"JB","6","3","OSS","W","W","A",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 2",2,"BZ","1","1","OSS","W","W","SA",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 3",3,"JB","1","3","OSS","W","D","SA",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 4",4,"BZ","2","1","OSS","W","W","A",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 5",5,"JB","4","1","OSS","W","W","A",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 6",6,"BZ","4","2","OSS","W","W","A",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 7",7,"JW","4","3","OSS","W","W","A",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 8",8,"JW","6","1","OSS","W","W","A",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 9",9,"JW","7","1","OSS","W","W","J",NA,NA,"0"
"12349 _ 1 _ 2023","ODF","12349",1,"BU",2023,"5/2/2023",2023-05-02,"12349 _ 1 _ 2023 _ 10",10,"JW","7","1","ENES","W","W","A",NA,NA,"0"
"12351 _ 1 _ 2023","ODF","12351",1,"BU",2023,"5/23/2023",2023-05-23,"12351 _ 1 _ 2023 _ 1",1,"BZ","3","3","ENES","W","D","SA",NA,NA,"0"
"12351 _ 1 _ 2023","ODF","12351",1,"BU",2023,"5/23/2023",2023-05-23,"12351 _ 1 _ 2023 _ 2",2,"BZ","6","1","ENES","W","W","SA",NA,NA,"0"
"12362 _ 1 _ 2023","ODF","12362",1,"HB",2023,"4/25/2023",2023-04-25,"12362 _ 1 _ 2023 _ 1",1,"JW","5","1","ENES","W","W","U",NA,NA,"0"
"12392 _ 1 _ 2023","ODF","12392",1,"BU",2023,"5/11/2023",2023-05-11,"12392 _ 1 _ 2023 _ 1",1,"BZ","3","1","ENES","W","D","J",NA,NA,"0"
"12392 _ 1 _ 2023","ODF","12392",1,"BU",2023,"5/11/2023",2023-05-11,"12392 _ 1 _ 2023 _ 2",2,"JW","6","1","ENES","W","D","J",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 1",1,"BZ","1","1","OSS","W","W","A",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 2",2,"JW","1","2","OSS","W","W","J",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 3",3,"BZ","2","1","OSS","W","D","A",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 4",4,"BZ","2","1","OSS","W","R","A",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 5",5,"JB","2","3","ENES","W","D","A",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 6",6,"JW","2","2","OSS","W","W","A",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 7",7,"JW","3","3","OSS","W","W","J",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 8",8,"JB","4","1","ENES","W","D","A",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 9",9,"JB","5","1","OSS","W","W","J",NA,NA,"0"
"12421 _ 1 _ 2023","ODF","12421",1,"BU",2023,"4/27/2023",2023-04-27,"12421 _ 1 _ 2023 _ 10",10,"JB","5","1","OSS","W","W","U",NA,NA,"0"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 1",1,"JB","3","1","OSS","W","W","A",NA,NA,"0"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 2",2,"BZ","4","3","OSS","W","W","A",NA,NA,"0"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 3",3,"BZ","4","3","OSS","W","W","A",NA,NA,"0"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 4",4,"BZ","4","3","ENES","W","D","A",NA,NA,"0"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 5",5,"JW","5","2","ENES","W","D","U",NA,NA,"0"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 6",6,"BZ","6","1","ENES","W","W","J",NA,NA,"0"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 7",7,"BZ","6","2","ENES","W","W","SA",NA,NA,"0"
"12560 _ 1 _ 2023","ODF","12560",1,"BU",2023,"4/26/2023",2023-04-26,"12560 _ 1 _ 2023 _ 1",1,"BZ","5","3","ENES","W","W","SA",NA,NA,"0"
"12804 _ 1 _ 2023","ODF","12804",1,"BU",2023,"5/8/2023",2023-05-08,"12804 _ 1 _ 2023 _ 1",1,"JW","1","1","OSS","W","D","U",NA,NA,"0"
"12804 _ 1 _ 2023","ODF","12804",1,"BU",2023,"5/8/2023",2023-05-08,"12804 _ 1 _ 2023 _ 2",2,"JB","5","3","OSS","W","D","A",NA,NA,"0"
"12804 _ 1 _ 2023","ODF","12804",1,"BU",2023,"5/8/2023",2023-05-08,"12804 _ 1 _ 2023 _ 3",3,"JW","5","2","OSS","W","W","A",NA,NA,"0"
"12804 _ 1 _ 2023","ODF","12804",1,"BU",2023,"5/8/2023",2023-05-08,"12804 _ 1 _ 2023 _ 4",4,"JB","6","1","OSS","W","W","A",NA,NA,"0"
"12804 _ 1 _ 2023","ODF","12804",1,"BU",2023,"5/8/2023",2023-05-08,"12804 _ 1 _ 2023 _ 5",5,"JB","7","1","OSS","W","D","A",NA,NA,"0"
"33651 _ 1 _ 2023","PB","33651",1,"HB",2023,"4/11/2023",2023-04-11,"33651 _ 1 _ 2023 _ 1",1,"JW","1","2","OSS","W","D","J",NA,NA,"0"
"33651 _ 1 _ 2023","PB","33651",1,"HB",2023,"4/11/2023",2023-04-11,"33651 _ 1 _ 2023 _ 2",2,"BZ","1","3","OSS","W","D","A",NA,NA,"0"
"33651 _ 1 _ 2023","PB","33651",1,"HB",2023,"4/11/2023",2023-04-11,"33651 _ 1 _ 2023 _ 3",3,"BZ","3","3","OSS","W","D","A",NA,NA,"0"
"33651 _ 1 _ 2023","PB","33651",1,"HB",2023,"4/11/2023",2023-04-11,"33651 _ 1 _ 2023 _ 4",4,"BZ","3","3","OSS","W","D","A",NA,NA,"0"
"33651 _ 1 _ 2023","PB","33651",1,"HB",2023,"4/11/2023",2023-04-11,"33651 _ 1 _ 2023 _ 5",5,"BZ","3","3","ENES","W","D","J",NA,NA,"0"
"33651 _ 1 _ 2023","PB","33651",1,"HB",2023,"4/11/2023",2023-04-11,"33651 _ 1 _ 2023 _ 6",6,"JB","3","2","OSS","W","W","U",NA,NA,"0"
"33651 _ 1 _ 2023","PB","33651",1,"HB",2023,"4/11/2023",2023-04-11,"33651 _ 1 _ 2023 _ 7",7,"BZ","7","1","AMGR","W","D","A",NA,NA,"0"
"33754 _ 1 _ 2023","PB","33754",1,"HU",2023,"4/5/2023",2023-04-05,"33754 _ 1 _ 2023 _ 1",1,"BZ","6","1","OSS","W","D","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/17/2023",2023-04-17,"34007 _ 1 _ 2023 _ 2",2,"JW","1","2","ENES","W","D","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/18/2023",2023-04-18,"34007 _ 1 _ 2023 _ 3",3,"JW","2","3","OSS","W","O","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/19/2023",2023-04-19,"34007 _ 1 _ 2023 _ 4",4,"JW","2","3","OSS","W","O","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/20/2023",2023-04-20,"34007 _ 1 _ 2023 _ 5",5,"JW","2","3","OSS","W","O","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/22/2023",2023-04-22,"34007 _ 1 _ 2023 _ 6",6,"BZ","2","1","OSS","W","W","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/23/2023",2023-04-23,"34007 _ 1 _ 2023 _ 7",7,"BZ","2","1","OSS","W","W","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/23/2023",2023-04-23,"34007 _ 1 _ 2023 _ 8",8,"JW","4","1","OSS","W","D","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/23/2023",2023-04-23,"34007 _ 1 _ 2023 _ 9",9,"JB","6","1","OSS","W","W","A",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/23/2023",2023-04-23,"34007 _ 1 _ 2023 _ 10",10,"JB","6","1","ENES","W","W","J",NA,NA,"0"
"34007 _ 1 _ 2023","PB","34007",1,"HB",2023,"4/23/2023",2023-04-23,"34007 _ 1 _ 2023 _ 11",11,"JW","6","2","OSS","W","D","J",NA,NA,"0"
"408143 _ 1 _ 2023","PB","408143",1,"HU",2023,"4/4/2023",2023-04-04,"408143 _ 1 _ 2023 _ 1",1,"JB","5","3","OSS","W","W","A",NA,NA,"0"
"408161 _ 1 _ 2023","PB","408161",1,"HU",2023,"4/5/2023",2023-04-05,"408161 _ 1 _ 2023 _ 1",1,"JB","5","2","ENES","W","W","A",NA,NA,"0"
"408161 _ 1 _ 2023","PB","408161",1,"HU",2023,"4/5/2023",2023-04-05,"408161 _ 1 _ 2023 _ 2",2,"JB","5","2","ENES","W","W","A",NA,NA,"0"
"408161 _ 1 _ 2023","PB","408161",1,"HU",2023,"4/5/2023",2023-04-05,"408161 _ 1 _ 2023 _ 3",3,"JB","6","3","ENES","W","W","J",NA,NA,"0"
"408162 _ 1 _ 2023","PB","408162",1,"HB",2023,"4/12/2023",2023-04-12,"408162 _ 1 _ 2023 _ 1",1,"BZ","2","3","ENES","W","W","A",NA,NA,"0"
"408162 _ 1 _ 2023","PB","408162",1,"HB",2023,"4/12/2023",2023-04-12,"408162 _ 1 _ 2023 _ 2",2,"BZ","2","3","ENES","W","D","A",NA,NA,"0"
"408162 _ 1 _ 2023","PB","408162",1,"HB",2023,"4/12/2023",2023-04-12,"408162 _ 1 _ 2023 _ 3",3,"JW","3","1","OSS","W","O","A",NA,NA,"0"
"408162 _ 1 _ 2023","PB","408162",1,"HB",2023,"4/12/2023",2023-04-12,"408162 _ 1 _ 2023 _ 4",4,"JB","3","2","OSS","W","W","J",NA,NA,"0"
"408162 _ 1 _ 2023","PB","408162",1,"HB",2023,"4/12/2023",2023-04-12,"408162 _ 1 _ 2023 _ 5",5,"JB","3","2","OSS","W","W","J",NA,NA,"0"
"408162 _ 1 _ 2023","PB","408162",1,"HB",2023,"4/12/2023",2023-04-12,"408162 _ 1 _ 2023 _ 6",6,"JW","4","1","OSS","W","D","A",NA,NA,"0"
"408162 _ 1 _ 2023","PB","408162",1,"HB",2023,"4/12/2023",2023-04-12,"408162 _ 1 _ 2023 _ 7",7,"BZ","4","2","ENES","W","D","SA",NA,NA,"0"
"408162 _ 1 _ 2023","PB","408162",1,"HB",2023,"4/12/2023",2023-04-12,"408162 _ 1 _ 2023 _ 8",8,"JB","5","3","OSS","W","L","U",NA,NA,"0"
"408178 _ 1 _ 2023","PB","408178",1,"BS",2023,"4/18/2023",2023-04-18,"408178 _ 1 _ 2023 _ 1",1,"BZ","5","1","OSS","W","L","A",NA,NA,"0"
"408178 _ 1 _ 2023","PB","408178",1,"BS",2023,"4/18/2023",2023-04-18,"408178 _ 1 _ 2023 _ 2",2,"JB","7","1","ANFE","W","W","A",NA,NA,"0"
"408178 _ 2 _ 2023","PB","408178",2,"HB",2023,"4/19/2023",2023-04-19,"408178 _ 2 _ 2023 _ 2",2,"JW","6","2","OSS","W","W","U",NA,NA,"0"
"408180 _ 1 _ 2023","PB","408180",1,"HB",2023,"4/11/2023",2023-04-11,"408180 _ 1 _ 2023 _ 1",1,"JW","1","2","OSS","W","D","A",NA,NA,"0"
"408180 _ 1 _ 2023","PB","408180",1,"HB",2023,"4/11/2023",2023-04-11,"408180 _ 1 _ 2023 _ 2",2,"BZ","1","3","ENES","W","W","A",NA,NA,"0"
"408180 _ 1 _ 2023","PB","408180",1,"HB",2023,"4/11/2023",2023-04-11,"408180 _ 1 _ 2023 _ 3",3,"JW","4","1","ENES","W","D","A",NA,NA,"0"
"408180 _ 1 _ 2023","PB","408180",1,"HB",2023,"4/11/2023",2023-04-11,"408180 _ 1 _ 2023 _ 4",4,"JW","7","2","OSS","W","D","A",NA,NA,"0"
"9757 _ 1 _ 2023","PB","9757",1,"BU",2023,"4/19/2023",2023-04-19,"9757 _ 1 _ 2023 _ 2",2,"JW","7","3","OSS","W","W","U",NA,NA,"0"
"10153 _ 1 _ 2023","WY","10153",1,"BS",2023,"5/4/2023",2023-05-04,"10153 _ 1 _ 2023 _ 1",1,"BZ","4","1","ENES","W","W","A",NA,NA,"0"
"10185 _ 1 _ 2023","WY","10185",1,"BS",2023,"4/10/2023",2023-04-10,"10185 _ 1 _ 2023 _ 1",1,"JW","4","1","ENES","W","D","U",NA,NA,"0"
"10185 _ 1 _ 2023","WY","10185",1,"BS",2023,"4/10/2023",2023-04-10,"10185 _ 1 _ 2023 _ 2",2,"BZ","5","1","OSS","W","D","U",NA,NA,"0"
"10185 _ 1 _ 2023","WY","10185",1,"BS",2023,"4/10/2023",2023-04-10,"10185 _ 1 _ 2023 _ 3",3,"BZ","5","1","OSS","W","D","U",NA,NA,"0"
"10185 _ 1 _ 2023","WY","10185",1,"BS",2023,"4/10/2023",2023-04-10,"10185 _ 1 _ 2023 _ 4",4,"JB","5","3","OSS","W","W","J",NA,NA,"0"
"10403 _ 1 _ 2023","WY","10403",1,"BS",2023,"3/22/2023",2023-03-22,"10403 _ 1 _ 2023 _ 1",1,"JW","7","1","OSS","W","W","U",NA,NA,"0"
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"3/22/2023",2023-03-22,"10444 _ 1 _ 2023 _ 1",1,"BZ","5","1","OSS","W","W","SA",NA,NA,"0"
"10488 _ 1 _ 2023","WY","10488",1,"HB",2023,"3/21/2023",2023-03-21,"10488 _ 1 _ 2023 _ 1",1,"BZ","7","1","OSS","W","D","A",NA,NA,"0"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"3/13/2023",2023-03-13,"10506 _ 1 _ 2023 _ 1",1,"JW","2","2","OSS","W","L","J",NA,NA,"0"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"3/13/2023",2023-03-13,"10506 _ 1 _ 2023 _ 2",2,"JB","3","1","OSS","W","L","J",NA,NA,"0"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 1",1,"JW","1","1","OSS","W","W","A",NA,NA,"0"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 2",2,"JB","1","2","OSS","W","W","A",NA,NA,"0"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 3",3,"JB","4","1","OSS","W","W","A",NA,NA,"0"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 4",4,"JB","7","2","OSS","W","W","A",NA,NA,"0"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 5",5,"JW","7","3","OSS","W","W","A",NA,NA,"0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3/21/2023",2023-03-21,"10963 _ 1 _ 2023 _ 1",1,"BZ","4","1","OSS","W","W","SA",NA,NA,"0"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3/21/2023",2023-03-21,"10963 _ 1 _ 2023 _ 2",2,"JW","4","3","OSS","W","W","U",NA,NA,"0"
"20616 _ 1 _ 2023","WY","20616",1,"UU",2023,"5/15/2023",2023-05-15,"20616 _ 1 _ 2023 _ 1",1,"BZ","1","1","ENES","W","D","J",NA,NA,"0"
"20616 _ 1 _ 2023","WY","20616",1,"UU",2023,"5/15/2023",2023-05-15,"20616 _ 1 _ 2023 _ 2",2,"JW","5","1","ENES","W","W","A",NA,NA,"0"
"29431 _ 1 _ 2023","WY","29431",1,"UU",2023,"6/2/2023",2023-06-02,"29431 _ 1 _ 2023 _ 1",1,"JB","3","1","OSS","W","W","A",NA,NA,"0"
"33810 _ 1 _ 2023","WY","33810",1,"HU",2023,"4/10/2023",2023-04-10,"33810 _ 1 _ 2023 _ 1",1,"BZ","2","3","ENES","W","W","A",NA,NA,"0"
"33810 _ 1 _ 2023","WY","33810",1,"HU",2023,"4/10/2023",2023-04-10,"33810 _ 1 _ 2023 _ 2",2,"JB","4","2","OSS","W","D","A",NA,NA,"0"
"33810 _ 1 _ 2023","WY","33810",1,"HU",2023,"4/10/2023",2023-04-10,"33810 _ 1 _ 2023 _ 3",3,"JW","7","2","OSS","W","W","A",NA,NA,"0"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 16",16,"JW","7","1","OSS","N","W","SA",NA,NA,"0"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 8",8,"JB","5","1","OSS","N","R","A",NA,NA,"0"
